txpyr_id,txpyr_name,type,segment,registration_date,location,location_code
3631325814, NexaCo,Sole Proprietorship,Consumer Goods and Retail,08/06/2000,Φωκίδα,N0850
4839332485, LuminaX,Limited Liability Company (LLC),Automotive,11/07/1993,Κεφαλλονία,N0630
6981756676, VividNet,Limited Liability Company (LLC),Technology and Innovation,22/03/1992,Καστοριά,N0320
4997713523, OptiWave,Sole Proprietorship,Tourism and Hospitality,06/08/2006,Ιωάννινα,N0430
9591475563, ZenCore,Limited Liability Company (LLC),Consumer Goods and Retail,10/02/1995,Πιερία,N0250
1158429050, Fluxion,Sole Proprietorship,Automotive,29/11/1998,Χαλκιδική,N0270
9162886236, TriNova,Sole Proprietorship,Consumer Goods and Retail,15/02/2003,Έβρος,N0120
7751355833, AlphaEra,Private Limited Company (Ltd),Tourism and Hospitality,14/07/2004,Αρκαδία,N1020
2174249386, PureVibe,Sole Proprietorship,Energy,17/11/1990,Ανατολική Αττική,N0930
4561308304, EcoLuxe,Limited Partnership (LP),Energy,14/11/2000,Καρδίτσα,N0510
9352898330, GlobaSync,Private Limited Company (Ltd),Consumer Goods and Retail,11/08/2000,Καρδίτσα,N0510
4846671032, Maxeon,Sole Proprietorship,Agriculture and Food Production,18/10/2015,Κεφαλλονία,N0630
5246766035, XenoEdge,Sole Proprietorship,Tourism and Hospitality,22/10/2012,Ροδόπη,N0150
8419373810, HelioGen,Sole Proprietorship,Agriculture and Food Production,13/04/1999,Χίος,N1130
5961397803, Vortexia,Sole Proprietorship,Tourism and Hospitality,10/03/2015,Άρτα,N0410
7442337379, NovaLink,Sole Proprietorship,Agriculture and Food Production,19/06/2001,Λευκάδα,N0640
2006857412, QubeNet,General Partnership,Agriculture and Food Production,10/09/2007,Λάρισα,N0520
6201251350, UltraZen,Sole Proprietorship,Consumer Goods and Retail,26/04/2008,Κεφαλλονία,N0630
7091047208, Brightis,Private Limited Company (Ltd),Technology and Innovation,18/02/2001,Ξάνθη,N0140
5354714899, AeroFlux,Sole Proprietorship,Agriculture and Food Production,19/07/2010,Πρέβεζα,N0440
1737739372, OmniGlow,Sole Proprietorship,Tourism and Hospitality,08/04/2005,Λέσβος,N1110
1862449294, SkyVibe,Sole Proprietorship,Healthcare,25/03/2010,Δωδεκάνησα,N1220
6785441158, QuantiX,Sole Proprietorship,Logistics and Transportation,14/11/2001,Κόρινθος,N1030
8747494459, FuturaX,Private Limited Company (Ltd),Logistics and Transportation,05/04/2003,Ιωάννινα,N0430
3648613040, VeloGen,Sole Proprietorship,Agriculture and Food Production,23/05/2005,Θεσσαλονίκη,N0220
1488188447, RadiantZ,Sole Proprietorship,Technology and Innovation,02/05/2012,Φωκίδα,N0850
5728307230, MetaWave,Sole Proprietorship,Tourism and Hospitality,11/07/2008,Ρέθυμνο,N1330
2673094904, HyperZen,Sole Proprietorship,Tourism and Hospitality,15/04/2013,Σέρρες,N0260
1375506074, Kinetix,Sole Proprietorship,Tourism and Hospitality,03/12/2002,Ευρυτανία,N0830
5892780820, AstroGen,Sole Proprietorship,Consumer Goods and Retail,03/05/1997,Δράμα,N0110
3904365159, MegaWave,Private Limited Company (Ltd),Financial Services,09/11/1999,Φθιώτιδα,N0840
2257542590, OptimaQ,Sole Proprietorship,Agriculture and Food Production,24/04/1994,Θεσπρωτία,N0420
5796749533, XyloGen,Sole Proprietorship,Energy,09/03/2006,Χίος,N1130
3564477983, LumeNet,Sole Proprietorship,Agriculture and Food Production,05/05/2001,Μαγνησία,N0530
7877640203, AeroNex,Sole Proprietorship,Automotive,04/06/1993,Πέλλα,N0240
8196721591, Vividus,Sole Proprietorship,Agriculture and Food Production,04/04/1997,Ημαθία,N0210
5148001406, QuantaX,Sole Proprietorship,Consumer Goods and Retail,25/09/1990,Ροδόπη,N0150
6412717670, OmniNex,Sole Proprietorship,Energy,01/10/1994,Κόρινθος,N1030
4807312170, PureZen,Sole Proprietorship,Consumer Goods and Retail,12/09/2004,Ιωάννινα,N0430
1437250343, SkyLinez,Limited Liability Company (LLC),Tourism and Hospitality,21/02/2000,Μεσσηνία,N1050
1102143294, QuantumZ,Sole Proprietorship,Logistics and Transportation,01/10/2009,Ηράκλειο,N1310
1087359393, GlobaX,Sole Proprietorship,Automotive,04/11/1995,Αιτωλοακαρνανία,N0710
1609024961, MaxeonX,Public Limited Company (PLC),Energy,16/01/1995,Αιτωλοακαρνανία,N0710
1465674966, UltraNet,Private Limited Company (Ltd),Consumer Goods and Retail,20/02/2001,Κοζάνη,N0330
