CommunityID,CommunityCount,Type,Id,Name,Centrality    
19,1,TIN,3198145138,Virtual Services Corporation 5,12
19,2,TIN,2377041048,"Open Networks Unlimited, Inc 9",6
19,3,TIN,3828768705,Key Byte Group 5,6
19,4,TIN,9945477829,Cyber Innovation Corp 4,6
19,5,TIN,818085882,Expert Integrity Technologies 10,6
19,6,TIN,2532964651,Proffessional Networking Studios 7,6
19,7,TIN,9915435354,External Technologies Design 3,6
19,8,TIN,8575591766,Cyber Security 5,6
19,9,TIN,5994220815,Indicative Opportunities Vision 10,6
19,10,TIN,4430808077,Canadian Community Group 4,2
19,11,TIN,8353082211,Technical Networks Technologies 4,2
19,12,TIN,2313446823,Quantum Wireless,2
19,13,TIN,3187495931,Executive Unified Technologies 9,2
19,14,TIN,797267576,Administrative Innovation 6,2
19,15,TIN,3652627578,Future Solutions LLC 3,2
19,16,TIN,8252221406,Certified Integrity Technologies 3,2
19,17,TIN,7151463598,Future Solutions LLC 6,0
19,18,TIN,8662483690,TST Consultancy,0
19,19,TIN,1199793421,demouser1,0
19,20,TIN,2386692390,Administrative Concierge 10,0
19,21,TIN,630700429,Continential Data Corporation 9,0
19,22,TIN,3224364660,Open Unified Studios 9,0
19,23,TIN,6109599688,Expert Integrity Technologies 6,0
19,24,TIN,5106382010,Expert Telecom 10,0
22,1,TIN,2994845018,Corporate Data Advertising 2,12
22,2,TIN,2871977711,American Software 4,12
22,3,TIN,815235403,Talro Trading,12
22,4,TIN,6649902295,Key Digital Concierge 10,12
22,5,TIN,2386652048,Expert Interactive Resources 9,11
22,6,TIN,7905520242,Indicative Community Resources 6,11
22,7,TIN,8390144964,Enigma Wireless Design 6,6
22,8,TIN,5566415760,Corporate Opportunities Ltd 6,6
22,9,TIN,8240849995,Expert Security Telecom 6,6
22,10,TIN,2330255865,External Media Corp 6,6
22,11,TIN,6690924828,North American Automation Concierge 5,6
22,12,TIN,7398346114,Canadian Media Design 9,6
22,13,TIN,9221661350,Graphic Outsourcing Studios 3,6
22,14,TIN,8010202494,Continential Wireless Worldwide 6,6
22,15,TIN,3634428125,Global Inc 8,4
22,16,TIN,4758446311,North American Interworks Studios 9,3
22,17,TIN,2455605070,Advanced Byte Firm 7,3
22,18,TIN,6507958614,Quantum Interworks Advertising 8,2
22,19,TIN,4801382052,Profit Computer Concierge 9,2
22,20,TIN,9400221594,Cyber Innovation Corp 7,2
22,21,TIN,197009543,Continential Wireless Worldwide 8,2
22,22,TIN,388320433,Expert Trade Design 7,2
22,23,TIN,1932173697,Silicon Experts Technologies 2,2
22,24,TIN,5883329561,Technical PC Studios 8,2
22,25,TIN,9441028233,Quantum Server Universal,2
22,26,TIN,7710860071,Automation Design 2,2
22,27,TIN,3029827520,Ironclad Client Group 6,2
22,28,TIN,8005663672,Administrative Trade Telecom 7,2
22,29,TIN,7852589996,External Technologies Design 5,2
22,30,TIN,8779068120,Key Wireless Corp,2
22,31,TIN,9914099222,Administrative Innovation 5,0
22,32,TIN,3028012851,Proffessional Technology 2,0
22,33,TIN,9417907554,North American Automation Concierge 10,0
22,34,TIN,581714862,Cyber Innovation Corp 9,0
22,35,TIN,6137599875,Expert Security Telecom 2,0
22,36,TIN,674598964,North American Interworks Studios 2,0
22,37,TIN,3982244382,Certified Integrity Technologies 6,0
22,38,TIN,6959395583,Certified Paradigm Concierge 2,0
22,39,TIN,1849121586,Quantum Interworks Advertising 4,0
21,1,TIN,2081094397,Ironclad Software Concierge 10,30
21,2,TIN,1025593026,North American Interworks Studios,12
21,3,TIN,4060909826,Canadian Outsourcing 2,10
21,4,TIN,4886210621,Agility Outsourcing Studios 9,10
21,5,TIN,4800218220,Network Server Studios,6
21,6,TIN,6577904241,North American Trade Group 6,6
21,7,TIN,8916558390,Proffessional Wireless Advertising 5,6
21,8,TIN,369330013,Expert Trade Design 4,6
21,9,TIN,4821739020,Internet Community Group 10,6
21,10,TIN,9405142220,Ironclad Client Group 9,4
21,11,TIN,2204166044,External Solutions LLC 4,2
21,12,TIN,3487676790,Micro Production 8,2
21,13,TIN,6907438062,Global Inc 5,2
21,14,TIN,7644290102,Canadian Media Design 10,2
21,15,TIN,9386890803,Profit Computer Concierge 10,2
21,16,TIN,5934096644,Integrity 7,2
21,17,TIN,6885982819,Expert Security Telecom 7,2
